Date,Price,Open,High,Low,Vol.,Change %,Price_Lag1
2024-06-10,69538.2,69650.2,70152.5,69259.9,39120.0,-0.16,69650.6
2024-06-11,67319.8,69537.9,69573.3,66197.8,96700.0,-3.19,69538.2
2024-06-12,68260.1,67320.9,69990.8,66911.5,85550.0,1.4,67319.8
2024-06-13,66773.1,68260.6,68384.6,66324.3,66360.0,-2.18,68260.1
2024-06-14,66034.8,66775.2,67347.7,65076.5,65180.00000000001,-1.11,66773.1
2024-06-15,66223.0,66034.1,66446.4,65895.1,24050.0,0.29,66034.8
2024-06-16,66674.7,66223.0,66951.4,66038.1,20740.0,0.68,66223.0
2024-06-17,66498.8,66672.9,67253.8,65115.4,66090.0,-0.26,66674.7
2024-06-18,65159.9,66495.7,66571.2,64098.4,93720.0,-2.01,66498.8
2024-06-19,64980.9,65159.8,65706.4,64705.6,42960.0,-0.27,65159.9
2024-06-20,64854.3,64982.1,66474.2,64566.7,56240.0,-0.19,64980.9
2024-06-21,64128.5,64854.3,65054.9,63427.9,60860.0,-1.12,64854.3
2024-06-22,64261.0,64131.9,64523.9,63944.0,17550.0,0.21,64128.5
2024-06-23,63196.2,64261.0,64518.9,63195.3,19940.0,-1.66,64261.0
2024-06-24,60292.7,63201.6,63357.1,58589.9,120600.0,-4.59,63196.2
2024-06-25,61809.4,60292.0,62266.0,60262.2,77280.0,2.52,60292.7
2024-06-26,60849.4,61809.9,62469.4,60715.1,54950.0,-1.55,61809.4
2024-06-27,61685.3,60848.3,62351.2,60629.4,48790.0,1.37,60849.4
2024-06-28,60403.3,61684.6,62175.4,60081.9,58950.0,-2.08,61685.3
2024-06-29,60973.4,60403.7,61192.8,60382.8,26560.0,0.94,60403.3
2024-06-30,62754.3,60973.1,63006.6,60703.7,37210.0,2.92,60973.4
2024-07-01,62890.1,62768.8,63842.1,62558.0,59940.0,0.22,62754.3
2024-07-02,62103.3,62888.3,63257.0,61797.6,46520.0,-1.25,62890.1
2024-07-03,60199.3,62104.9,62263.6,59466.6,73340.0,-3.07,62103.3
2024-07-04,57026.3,60201.4,60463.0,56812.7,116380.0,-5.27,60199.3
2024-07-05,56641.8,57025.7,57471.1,53883.4,175510.0,-0.67,57026.3
2024-07-06,58259.2,56640.0,58462.0,56026.8,46910.0,2.86,56641.8
2024-07-07,55861.1,58240.2,58394.6,55756.3,41120.0,-4.12,58259.2
2024-07-08,56724.7,55850.2,58115.8,54320.0,102910.0,1.55,55861.1
2024-07-09,58039.4,56721.3,58234.0,56306.3,64250.0,2.32,56724.7
2024-07-10,57746.7,58040.2,59393.8,57185.3,59600.0,-0.5,58039.4
2024-07-11,57337.3,57745.9,59404.4,57095.0,66400.0,-0.71,57746.7
2024-07-12,57885.1,57338.3,58520.9,56575.7,56840.0,0.96,57337.3
2024-07-13,59209.8,57897.4,59826.5,57770.6,34280.0,2.29,57885.1
2024-07-14,60794.9,59207.9,61326.9,59207.9,47480.0,2.68,59209.8
2024-07-15,64782.4,60794.7,64869.5,60678.8,96020.0,6.56,60794.9
2024-07-16,65049.7,64749.2,65319.5,62430.8,93630.0,0.41,64782.4
2024-07-17,64089.2,65052.8,66051.5,63897.5,66110.0,-1.48,65049.7
2024-07-18,63980.5,64090.4,65102.0,63253.5,51270.0,-0.17,64089.2
2024-07-19,66677.4,63981.2,67390.4,63326.1,82870.0,4.22,63980.5
2024-07-20,67148.5,66677.0,67586.4,66257.4,32940.0,0.71,66677.4
2024-07-21,68158.7,67147.8,68352.9,65825.6,47190.0,1.5,67148.5
2024-07-22,67553.6,68158.4,68468.9,66601.8,54880.0,-0.89,68158.7
2024-07-23,65937.8,67550.4,67750.2,65512.9,69580.0,-2.39,67553.6
2024-07-24,65370.5,65936.8,67072.1,65155.2,52470.0,-0.86,65937.8
2024-07-25,65799.3,65363.9,66088.6,63500.9,77460.0,0.66,65370.5
2024-07-26,67908.6,65799.7,68205.0,65764.3,59130.0,3.21,65799.3
2024-07-27,67843.1,67910.8,69387.6,66776.8,67990.0,-0.1,67908.6
2024-07-28,68256.3,67888.9,68291.9,67067.8,26170.0,0.61,67843.1
2024-07-29,66798.7,68256.3,70000.2,66544.5,85670.0,-2.14,68256.3
2024-07-30,66184.9,66796.1,66998.3,65328.7,54430.0,-0.92,66798.7
2024-07-31,64626.0,66185.4,66825.6,64538.3,51520.0,-2.36,66184.9
2024-08-01,65372.9,64625.7,65587.9,62303.9,84200.0,1.16,64626.0
2024-08-02,61478.7,65351.8,65567.1,61242.3,93890.0,-5.96,65372.9
2024-08-03,60696.7,61480.8,62184.2,59914.6,65740.0,-1.27,61478.7
2024-08-04,58141.8,60700.2,61086.5,57346.9,72710.0,-4.21,60696.7
2024-08-05,53979.0,58142.9,58291.4,49486.9,333460.0,-7.16,58141.8
2024-08-06,56057.8,54010.8,57025.6,53998.2,113890.0,3.85,53979.0
2024-08-07,55120.9,56049.9,57669.6,54598.5,94520.0,-1.67,56057.8
2024-08-08,61699.7,55112.8,62563.5,54786.9,109770.0,11.94,55120.9
2024-08-09,60850.6,61697.8,61712.3,59570.2,69550.0,-1.38,61699.7
2024-08-10,60931.7,60844.5,61344.5,60264.2,22910.0,0.13,60850.6
2024-08-11,58713.3,60929.8,61677.3,58388.7,41060.0,-3.64,60931.7
2024-08-12,59350.0,58711.7,60606.2,57689.0,79310.0,1.08,58713.3
2024-08-13,60595.2,59350.2,61537.0,58492.4,62920.0,2.1,59350.0
2024-08-14,58707.8,60594.6,61543.0,58491.2,64790.00000000001,-3.11,60595.2
2024-08-15,57534.6,58710.1,59831.4,56275.7,81470.0,-2.0,58707.8
2024-08-16,58877.2,57545.1,59817.3,57129.1,64010.00000000001,2.33,57534.6
2024-08-17,59483.1,58877.8,59659.5,58825.5,18510.0,1.03,58877.2
2024-08-18,58446.3,59485.4,60216.3,58436.1,30820.0,-1.74,59483.1
2024-08-19,59470.9,58445.8,59598.5,57872.0,49190.0,1.75,58446.3
2024-08-20,59005.8,59470.3,61331.6,58612.0,69770.0,-0.78,59470.9
2024-08-21,61158.1,59010.0,61812.0,58831.1,91310.0,3.65,59005.8
2024-08-22,60372.2,61158.3,61399.7,59815.8,74390.0,-1.29,61158.1
2024-08-23,64053.1,60374.7,64830.1,60354.4,125500.0,6.1,60372.2
2024-08-24,64159.3,64061.7,64458.9,63579.5,54140.0,0.17,64053.1
2024-08-25,64273.2,64160.7,64939.2,63796.6,41610.0,0.18,64159.3
2024-08-26,62846.2,64240.7,64472.5,62841.1,68890.0,-2.22,64273.2
2024-08-27,59450.9,62832.2,63201.4,58187.3,108530.0,-5.4,62846.2
2024-08-28,59016.0,59425.6,60198.4,57912.1,109470.0,-0.73,59450.9
2024-08-29,59373.5,59027.3,61150.6,58807.1,87190.0,0.61,59016.0
2024-08-30,59119.7,59371.7,59817.6,57874.7,87310.0,-0.43,59373.5
2024-08-31,58978.6,59120.4,59447.0,58761.1,30860.0,-0.24,59119.7
2024-09-01,57315.7,58975.7,59058.7,57232.4,63950.0,-2.82,58978.6
2024-09-02,59134.0,57309.0,59416.6,57185.8,73180.0,3.17,57315.7
2024-09-03,57479.8,59133.7,59799.7,57436.9,74770.0,-2.8,59134.0
2024-09-04,57973.4,57490.4,58508.8,55732.1,108440.0,0.86,57479.8
2024-09-05,56183.2,57970.7,58318.9,55744.6,90360.0,-3.09,57973.4
2024-09-06,53966.8,56179.7,56969.1,52644.6,155840.0,-3.94,56183.2
2024-09-07,54156.5,53965.0,54819.2,53754.3,58110.0,0.35,53966.8
2024-09-08,54861.3,54161.4,55292.7,53642.4,51990.0,1.3,54156.5
2024-09-09,57049.6,54868.0,57956.7,54595.4,105330.0,3.99,54861.3
2024-09-10,57635.0,57045.6,58019.9,56415.3,77650.0,1.03,57049.6
2024-09-11,57338.7,57638.0,57975.9,55576.6,102150.0,-0.51,57635.0
2024-09-12,58134.5,57335.5,58484.1,57329.6,98420.0,1.39,57338.7
2024-09-13,60511.6,58134.4,60625.4,57656.8,102120.0,4.09,58134.5
2024-09-14,59995.4,60514.8,60609.4,59494.3,44470.0,-0.85,60511.6
2024-09-15,59138.5,59995.6,60377.6,58717.9,47010.0,-1.43,59995.4
2024-09-16,58213.1,59126.2,59204.3,57527.8,87600.0,-1.56,59138.5
2024-09-17,60309.1,58213.1,61309.0,57630.2,106300.0,3.6,58213.1
2024-09-18,61757.6,60308.5,61757.6,59210.7,105570.0,2.4,60309.1
2024-09-19,62938.6,61754.8,63849.6,61596.5,120170.0,1.91,61757.6
2024-09-20,63201.2,62942.4,64085.1,62367.1,90650.0,0.42,62938.6
2024-09-21,63348.1,63201.2,63526.3,62778.6,33200.0,0.23,63201.2
2024-09-22,63572.7,63351.2,63998.2,62394.6,48860.0,0.35,63348.1
2024-09-23,63331.8,63575.4,64723.4,62650.0,75660.0,-0.38,63572.7
2024-09-24,64256.8,63335.9,64664.1,62740.8,76710.0,1.46,63331.8
2024-09-25,63156.5,64262.9,64788.4,62952.8,62720.0,-1.71,64256.8
2024-09-26,65175.7,63157.2,65770.9,62693.3,96060.0,3.2,63156.5
2024-09-27,65776.3,65168.8,66440.7,64839.2,80550.0,0.92,65175.7
2024-09-28,65866.5,65775.6,66232.5,65438.1,35000.0,0.14,65776.3
2024-09-29,65607.1,65862.8,66065.7,65436.8,32600.0,-0.39,65866.5
2024-09-30,63339.2,65607.0,65607.0,62901.1,101700.0,-3.46,65607.1
2024-10-01,60835.5,63329.9,64125.3,60195.9,134930.0,-3.95,63339.2
2024-10-02,60645.7,60834.2,62339.8,60002.7,98940.0,-0.31,60835.5
2024-10-03,60751.2,60642.0,61468.9,59904.4,82430.0,0.17,60645.7
2024-10-04,62081.0,60751.4,62471.7,60469.3,72710.0,2.19,60751.2
2024-10-05,62061.4,62085.5,62366.8,61705.7,30150.0,-0.03,62081.0
2024-10-06,62819.4,62062.0,62934.5,61495.4,31720.0,1.22,62061.4
2024-10-07,62245.6,62819.8,64449.3,62175.8,86270.0,-0.91,62819.4
2024-10-08,62157.0,62226.9,63196.6,61883.2,63750.0,-0.14,62245.6
2024-10-09,60628.8,62157.0,62537.0,60355.5,68790.0,-2.46,62157.0
2024-10-10,60316.2,60628.9,61304.6,59075.7,83860.0,-0.52,60628.8
2024-10-11,62499.4,60317.5,63385.1,60080.6,86380.0,3.62,60316.2
2024-10-12,63205.1,62506.6,63463.1,62486.1,40910.0,1.13,62499.4
2024-10-13,62870.9,63205.4,63284.6,62054.2,42260.0,-0.53,63205.1
2024-10-14,66081.7,62870.7,66476.6,62463.7,122090.0,5.11,62870.9
2024-10-15,67077.5,66084.1,67821.9,64850.6,136720.0,1.51,66081.7
2024-10-16,67617.9,67075.1,68389.4,66766.6,98300.0,0.81,67077.5
2024-10-17,67418.4,67618.1,67933.5,66677.3,84680.0,-0.3,67617.9
2024-10-18,68423.1,67416.5,68990.3,67190.9,99200.0,1.49,67418.4
2024-10-19,68372.0,68426.4,68688.8,68025.5,33290.0,-0.07,68423.1
2024-10-20,69030.5,68373.3,69386.4,67443.9,44920.0,0.96,68372.0
2024-10-21,67371.3,69030.5,69490.8,66845.5,109280.0,-2.4,69030.5
2024-10-22,67427.3,67370.8,67815.3,66609.4,86760.0,0.08,67371.3
2024-10-23,66663.7,67428.6,67441.1,65246.7,84990.0,-1.13,67427.3
2024-10-24,68191.5,66659.2,68831.8,66510.6,82780.0,2.29,66663.7
2024-10-25,66696.8,68191.9,68756.8,65644.2,110510.0,-2.19,68191.5
2024-10-26,67086.8,66694.5,67408.4,66443.8,42050.0,0.58,66696.8
2024-10-27,68004.6,67084.7,68308.0,66924.6,33580.0,1.37,67086.8
2024-10-28,69954.1,68011.9,70203.4,67610.0,103970.0,2.87,68004.6
2024-10-29,72730.4,69957.2,73569.4,69753.2,168600.0,3.97,69954.1
2024-10-30,72347.8,72732.5,72907.4,71460.0,99050.0,-0.53,72730.4
2024-10-31,70281.8,72343.7,72685.7,69674.5,111290.0,-2.86,72347.8
2024-11-01,69507.2,70278.7,71598.4,68846.0,130460.00000000001,-1.1,70281.8
2024-11-02,69325.8,69499.3,69896.9,69029.0,38720.0,-0.26,69507.2
2024-11-03,68769.6,69334.8,69383.6,67514.2,83160.0,-0.8,69325.8
2024-11-04,67848.8,68770.3,69483.4,66834.0,101310.0,-1.34,68769.6
2024-11-05,69373.7,67848.3,70495.6,67473.6,108950.0,2.25,67848.8
2024-11-06,75586.3,69374.1,76401.4,69323.0,357280.0,8.96,69373.7
2024-11-07,75868.6,75585.5,76837.8,74448.2,184160.0,0.37,75586.3
2024-11-08,76517.3,75869.8,77188.5,75599.0,155170.0,0.85,75868.6
2024-11-09,76700.3,76506.1,76904.0,75732.5,72970.0,0.24,76517.3
2024-11-10,80388.5,76681.4,81373.5,76520.5,193830.0,4.81,76700.3
2024-11-11,88664.1,80389.0,89519.0,80231.8,254040.0,10.29,80388.5
2024-11-12,87941.3,88665.0,89929.6,85122.2,288680.0,-0.82,88664.1
2024-11-13,90422.2,87971.2,93226.6,86168.4,257570.0,2.82,87941.3
2024-11-14,87294.0,90424.8,91726.7,86740.2,153340.0,-3.46,90422.2
2024-11-15,91046.5,87297.2,91833.1,87118.8,158190.0,4.3,87294.0
2024-11-16,90539.1,91035.3,91748.9,90079.0,79820.0,-0.56,91046.5
2024-11-17,89833.7,90569.4,91441.6,88736.1,81240.0,-0.78,90539.1
2024-11-18,90478.7,89843.3,92567.1,89410.4,150470.0,0.72,89833.7
2024-11-19,92239.2,90482.1,93918.5,90378.7,146040.0,1.95,90478.7
2024-11-20,94303.9,92252.6,94836.1,91517.4,121460.0,2.24,92239.2
2024-11-21,98374.5,94308.7,98937.2,94063.8,179070.0,4.32,94303.9
2024-11-22,98929.7,98381.2,99617.4,97182.2,132230.0,0.56,98374.5
2024-11-23,97699.0,98927.2,98927.2,97180.9,72170.0,-1.24,98929.7
2024-11-24,97935.2,97696.4,98552.6,95765.4,77040.0,0.24,97699.0
2024-11-25,93064.4,97948.8,98872.4,92875.3,124980.0,-4.97,97935.2
2024-11-26,91977.6,93046.5,94978.8,90817.2,131880.0,-1.17,93064.4
2024-11-27,95886.6,91975.5,97219.8,91795.5,106390.0,4.25,91977.6
2024-11-28,95645.5,95881.4,96549.0,94648.8,68170.0,-0.25,95886.6
2024-11-29,97438.0,95645.6,98599.8,95405.7,76540.0,1.87,95645.5
2024-11-30,96405.7,97438.5,97461.9,96119.6,36920.0,-1.06,97438.0
2024-12-01,97201.4,96404.7,97813.9,95721.8,42900.0,0.83,96405.7
2024-12-02,95846.6,97199.3,98082.0,94510.6,95800.0,-1.39,97201.4
2024-12-03,95898.7,95843.9,96245.0,93646.1,95080.0,0.05,95846.6
2024-12-04,98635.8,95900.1,99030.7,94625.3,113770.0,2.85,95898.7
2024-12-05,96970.8,98624.8,103719.4,92510.4,245790.0,-1.69,98635.8
2024-12-06,99760.7,96968.9,101908.5,96452.0,213490.0,2.88,96970.8
2024-12-07,99837.0,99757.2,100441.8,98969.0,118440.0,0.08,99760.7
2024-12-08,101115.8,99837.0,101339.9,98713.9,128930.0,1.28,99837.0
2024-12-09,97359.4,101129.7,101198.6,94395.8,321010.0,-3.72,101115.8
2024-12-10,96600.3,97311.5,98237.8,94304.5,271450.0,-0.78,97359.4
